KATEGORI,PERTANYAAN,JAWABAN,REFERENSI
SiPerindu,Apa saja isu strategis yang dapat digunakan dalam kajian atau analisis peringatan dini pengendalian penduduk?,"Beberapa isu strategis yang berkembang yang dapat digunakan dalam kajian atau analisis peringatan dini pengendalian penduduk adalah sebagai berikut:
1. Isu meningkatnya fertilitas;
2. Isu meningkatnya penyediaan layanan pendidikan;
3. Isu kelompok muda;
4. Isu usia reproduksi dan pemberdayaan perempuan;
5. Isu meningkatnya kelompok lansia;
6. Isu meningkatnya kebutuhan perumahan;
7. Isu menghadapi pola migrasi;
8. Isu dampak lingkungan;
9. Isu kemitraan dalam menghadapi permasalahan kependudukan;
10. Isu bonus demografi;
11. Isu pembangunan keluarga;
12. Isu stunting; dan
13. Isu lainnya sesuai dengan kebutuhan.",Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
Kampung KB,Mengapa Kampung Keluarga Berencana berubah menjadi Kampung Keluarga Berkualitas ?,"Perubahan ini bertujuan untuk memperluas cakupan dan sasaran program dari wilayah tertentu menjadi seluruh desa dan kelurahan di Indonesia, serta lebih berfokus pada penguatan institusi keluarga dalam seluruh dimensinya untuk meningkatkan kualitas sumber daya manusia.",Buku Pedoman Optimalisasi Penyelenggaraan Kampung Keluarga Berkualitas
Kampung KB,Apa saja 3 Dimensi Indeks Pembangunan Keluarga (iBangga) ?,"Indeks Pembangunan Keluarga (iBangga), yang mencakup 3 dimensi, yaitu: 1). Ketenteraman, 2). Kemandirian, 3).Kebahagiaan Keluarga",Buku Pedoman Optimalisasi Penyelenggaraan Kampung Keluarga Berkualitas
Kampung KB,Apa fungsi dari Rapat Koordinasi dalam pelaksanaan Kampung Keluarga Berkualitas ?,"Untuk menyinkronkan program, membangun komitmen, menyepakati rencana kegiatan, serta mengevaluasi pelaksanaan program antar sektor dan pihak terkait.",Buku Pedoman Optimalisasi Penyelenggaraan Kampung Keluarga Berkualitas
Kampung KB,Apa saja program/kegiatan kementerian/lembaga yang bisa diintegrasikan ke dalam Kampung Keluarga Berkualitas ?,"Beberapa contoh program atau kegiatan yang dapat diintegrasikan ke dalam Kampung Keluarga Berkualitas antara lain : 1). PKH (Kemensos), 2). STBM (Kemenkes), 3). Desa Mandiri (Kemendesa), 4). Desa Sakinah (Kemenag), 5). Kampung Iklim (KLHK), 6). Sanimas/Pamsimas (KemenPUPR) dan program lainnya
",Buku Pedoman Optimalisasi Penyelenggaraan Kampung Keluarga Berkualitas
Dashat,Mengapa penting menggunakan pangan lokal?,"Karena pangan lokal lebih segar, bergizi, terjangkau, mendorong perekonomian lokal, serta meningkatkan kedaulatan dan ketahanan pangan bangsa.","BKKBN, Buku Pegangan 3 Ragam Menu Sehat dan Bergizi DASHAT untuk Mahasiswa Peduli Stunting, Direktorat Kerjasama Pendidikan Kependudukan, 2022"
Dashat,Sebutkan contoh pangan lokal pengganti beras!,"Jagung, singkong, ubi, kentang, sagu, talas, dan labu kuning.","BKKBN, Buku Pegangan 3 Ragam Menu Sehat dan Bergizi DASHAT untuk Mahasiswa Peduli Stunting, Direktorat Kerjasama Pendidikan Kependudukan, 2022"
Dashat,Metode pengolahan apa yang paling baik untuk mempertahankan gizi makanan?,Mengukus. Metode ini dapat mempertahankan vitamin yang larut dalam air seperti vitamin B dan C.,"BKKBN, Buku Pegangan 3 Ragam Menu Sehat dan Bergizi DASHAT untuk Mahasiswa Peduli Stunting, Direktorat Kerjasama Pendidikan Kependudukan, 2022"
Dashat,Sebutkan 13 pesan umum gizi seimbang!,"Ada 13 Pesan umum Gizi Seimbang, yaitu :1) Makan aneka ragam makanan2) Makan makanan yang memenuhi kebutuhan energi3) Makan sumber karbohidrat setengah dari kebutuhan energi 4) Batasi lemak seperempat dari kecukupan energi5) Gunakan garam beryodium6) Makan makanan sumber zat besi7) Beri ASI pada bayi sampai umur enam bulan8) Biasakan makan pagi9) Minum air bersih, aman dan cukup jumlahnya10) Beraktifitas fisik dan olah raga secara teratur11) Hindari minum minuman beralkohol12) Makan makanan yang aman bagi kesehatan13) Baca informasi gizi pada kemasan makanan","BKKBN, Buku Pegangan 3 Ragam Menu Sehat dan Bergizi DASHAT untuk Mahasiswa Peduli Stunting, Direktorat Kerjasama Pendidikan Kependudukan, 2022"
Dashat,Apa itu sociopreneurship dalam DASHAT?,"Konsep wirausaha sosial yang menggabungkan kegiatan bisnis dengan tujuan sosial, yaitu menyediakan makanan bergizi sambil memberdayakan ekonomi masyarakat.","BKKBN, Buku Pegangan 3 Ragam Menu Sehat dan Bergizi DASHAT untuk Mahasiswa Peduli Stunting, Direktorat Kerjasama Pendidikan Kependudukan, 2022"
Dashat,Sebutkan lima metode pengolahan makanan dan pengaruhnya terhadap kandungan gizi!,"Rebus: Mengurangi vitamin B dan C karena larut air.       Kukus: Mempertahankan vitamin lebih baik daripada merebus.        Tumis: Menjaga vitamin larut lemak (A, D, E, K), tapi tergantung jumlah minyak.     Goreng: Dapat merusak vitamin/mineral karena suhu tinggi.    Panggang/Bakar: Vitamin B bisa hilang, tapi gizi lain relatif aman jika dilakukan dengan baik.","BKKBN, Buku Pegangan 3 Ragam Menu Sehat dan Bergizi DASHAT untuk Mahasiswa Peduli Stunting, Direktorat Kerjasama Pendidikan Kependudukan, 2022"
SiPerindu,Bagaimana Sistem Peringatan Dini Pengendalian Penduduk disusun?,"Sistem Peringatan Dini Pengendalian Penduduk disusun berdasarkan Undang-Undang Nomor 23 Tahun 2014 tentang Pemerintah Daerah yang menjadi acuan bagi pelaksanaan urusan pengendalian penduduk dan KB, dimana dapat disimpulkan bahwa urusan pemerintahan ini berbentuk konkuren yang bersifat wajib non pelayanan dasar sehingga pemerintah daerah, baik provinsi maupun kabupaten/kota wajib melaksanakan kewenangannya.",Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa tujuan Sistem Peringatan Dini Pengendalian Penduduk?,"Sistem Peringatan Dini Pengendalian Penduduk merupakan sebuah upaya dengan tujuan:
a. tersedianya acuan pelaksanaan peringatan dini pengendalian penduduk;
b. terwujudnya kesamaan pengertian, penafsiran dan persepsi dalam memberikan informasi peringatan dini pengendalian penduduk di tingkat pusat, provinsi, kabupaten dan kota;
c. terwujudnya pemaduan dan sinkronisasi kebijakan pembangunan pengendalian penduduk di tingkat pusat, provinsi, kabupaten dan kota;
d. terwujudnya kebijakan, program dan kegiatan pembangunan yang sesuai dengan masalah dan kebutuhan penduduk.",Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa saja status atau level peringatan dini pengendalian penduduk?,"Status atau level peringatan dini pengendalian penduduk, yaitu normal, waspada, siaga, dan awas.",Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Bagaimana penentuan status atau level peringatan dini pengendalian penduduk?,Penentuan status atau level peringatan dini pengendalian penduduk berdasarkan perhitungan ambang batas level atau benchmark tiap indikator yang dilakukan oleh pakar kependudukan.,Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa saja sumber data penyediaan informasi peringatan dini pengendalian penduduk?,"Sumber data yang dapat digunakan dalam proses penyediaan informasi peringatan dini pengendalian penduduk adalah sebagai berikut:
1. Sumber data sekunder yang resmi dikeluarkan oleh pemerintah meliputi data Sensus Penduduk, Susenas, Supas, Riskesdas, SDKI, data Potensi Desa, data Statistik Rutin, data Pendataan Keluarga (PK), data administrasi kependudukan (Adminduk).
2. Sumber data yang kedua adalah data primer yang diambil langsung kepada masyarakat sesuai dengan kepentingan analisis.",Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
SiPerindu,Apa saja isi laporan pelaksanaan kegiatan dalam rangka peringatan dini pengendalian penduduk?,"Isi laporan pelaksanaan kegiatan dalam rangka peringatan dini pengendalian penduduk meliputi:
a. Laporan fasilitasi pembinaan sistem peringatan dini pengendalian penduduk yang memuat jumlah peserta yang sudah mendapatkan orientasi dan mengisi formulir pada sistem aplikasi peringatan dini pengendalian penduduk.
b. Laporan pelaksanaan peringatan dini pengendalian penduduk yang memuat jumlah rencana aksi yang sudah disusun dan dilaporkan melalui sistem aplikasi peringatan dini pengendalian penduduk.
c. Laporan dampak pelaksanaan peringatan dini pengendalian penduduk yang memuat jumlah perubahan status peringatan dini pengendalian penduduk.
d. Keluaran kegiatan peringatan dini pengendalian penduduk di masing-masing tingkatan berupa hasil kajian atau analisis isu strategis di masing-masing wilayah dan pengembangan model solusi strategis pengendalian penduduk.
e. Terlaksananya kegiatan sosialisasi, diseminasi dan advokasi informasi peringatan dini pengendalian penduduk berupa hasil kajian/analisis dan pengembangan model solusi strategis kepada pemangku kepentingan, kelompok kerja Bangga Kencana, dan masyarakat.",Lampiran  Peraturan Deputi Bidang Pengendalian Penduduk Badan Kependudukan Dan Keluarga Berencana Nasional Nomor 6 Tahun 2021 Tentang  Petunjuk Teknis Pengelolaan Peringatan Dini Pengendalian Penduduk
Kependudukan,Apa yang dimaksud dengan kependudukan?,"Kependudukan adalah hal-hal yang berkaitan dengan jumlah, pertumbuhan, persebaran, komposisi, dan mobilitas penduduk serta faktor-faktor yang memengaruhinya.","BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Mengapa Isu kependudukan penting untuk generasi muda,Karena generasi muda merupakan kelompok usia produktif yang akan menentukan arah pembangunan dan kualitas penduduk di masa depan.,"BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Apa itu bonus demografi?,Bonus demografi adalah kondisi di mana jumlah penduduk usia produktif (15-64 tahun) lebih besar dibandingkan usia non-produktif.,"BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Bagaimana cara memanfaatkan bonus demografi?,"Dengan meningkatkan kualitas pendidikan, kesehatan, serta menciptakan lapangan kerja untuk usia produktif.","BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Apa dampak bonus demografi bila tidak dimanfaatkan dengan baik?,"Bisa menyebabkan ledakan pengangguran, kemiskinan, dan masalah sosial lainnya.","BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Apa peran BKKBN dalam pendidikan kependudukan?,BKKBN menyusun kebijakan dan program untuk menyosialisasikan pentingnya pengendalian penduduk dan keluarga berencana.,"BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Apa hubungan antara kependudukan dan pembangunan berkelanjutan?,"Jumlah dan kualitas penduduk sangat memengaruhi pemanfaatan sumber daya alam, lingkungan, dan arah pembangunan.","BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Apa kaitan antara kependudukan dan kualitas hidup?,"Pengelolaan penduduk yang baik meningkatkan akses terhadap pendidikan, layanan kesehatan, dan lapangan kerja.","BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Apa peran keluarga dalam pengendalian penduduk?,Keluarga dapat menentukan jumlah anak ideal dan memberikan pendidikan kependudukan sejak dini.,"BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
Kependudukan,Mengapa generasi muda harus peduli terhadap isu kependudukan?,Karena mereka adalah pemegang estafet pembangunan dan akan terdampak langsung oleh kondisi demografi masa depan.,"BKKBN, Buku Bacaan Populer Pendidikan Kependudukan, Generasi Muda Peduli Kependudukan, Direktorat Kerjasama Pendidikan Kependudukan, 2019"
GDPK,Apa definisi dari Grand Design Pembangunan Kependudukan (GDPK)?,"Grand Design Pembangunan Kependudukan (GDPK) adalah kerangka utama atau rencana induk pembangunan yang memuat visi, misi, arah kebijakan, tujuan dan sasaran pembangunan di bidang kependudukan untuk jangka waktu 25 tahun, yang diderivasi dari RPJPN dan menjadi acuan dalam penyusunan roadmap pembangunan kependudukan.","Panduan Penyusunan Grand Desain Pembangunan Kependudukan 5 Pilar, BKKBN, 2020"
GDPK,Apa dasar hukum Grand Design Pembangunan Kependudukan (GDPK)?,Peraturan Presiden No. 153 Tahun 2014 tentang GDPK,Peraturan Presiden No. 153 Tahun 2014 tentang GDPK
GDPK,Apa saja lima pilar utama dalam Grand Design Pembangunan Kependudukan menurut Peraturan Presiden No. 153 Tahun 2014?,"Lima pilar utama dalam GDPK adalah:
 1. Pengendalian kuantitas penduduk,
 2. Peningkatan kualitas penduduk,
 3. Pembangunan keluarga,
 4. Penataan persebaran dan pengarahan mobilitas penduduk,
 5. Penataan administrasi dan data kependudukan.","Panduan Penyusunan Grand Desain Pembangunan Kependudukan 5 Pilar, BKKBN, 2020"
GDPK,Apa peran GDPK dalam perencanaan pembangunan kependudukan di daerah?,"GDPK berperan sebagai dokumen strategis yang menjadi rujukan bagi pemerintah daerah dalam menyusun kebijakan, strategi, dan program kependudukan. GDPK juga mendukung integrasi antara perencanaan pusat dan daerah dalam kurun waktu 25 tahun, melalui tahapan lima tahunan (roadmap).","Panduan Penyusunan Grand Desain Pembangunan Kependudukan 5 Pilar, BKKBN, 2020"
GDPK,Apa definisi Peta Jalan Pembangunan Kependudukan?,"Peta Jalan Pembangunan Kependudukan adalah dokumen operasionalisasi GDPK selama 5 tahun yang memuat analisis situasi kependudukan, kebijakan dan strategi, sasaran, indikator, target per tahun, dan rencana aksi untuk mencapai target pembangunan kependudukan.","Panduan Penyusunan Grand Desain Pembangunan Kependudukan 5 Pilar, BKKBN, 2020"
GDPK,Bagaimana kedudukan/internalisasi Peta Jalan Pembangunan Kependudukan dalam pembangunan kependudukan di daerah?,"Muatan dalam dokumen Peta Jalan Pembangunan Kependudukan perlu diinternalisasikan ke dalam dokumen perencanaan pembangunan daerah yaitu RPJMD, RKPD, Renstrada dan Renja Perangkat Daerah dari sejak persiapan penyusunan sampai dengan penetapan dokumen RPJMD dan RKPD","Panduan Peta Jalan Pembangunan  Kependudukan, BKKBN, 2025"
GDPK,Bagaimana perkembangan GDPK  yang ada di DIY baik tingkat provinsi maupun kabupaten/kota?,"Seluruh pemerintah daerah baik provinsi maupun kabupaten/kota yang ada di DIY sudah menyusun GDPK 5 Pilar dengan periode sebagai berikut : 
1. Provinsi DIY : 2023 - 2045 (review pada tahun 2022)
2. Kabupaten Kulon Progo : 2018 - 2035 
3. Kabupaten Bantul : 2018 - 2035 
4. Kabupaten Gunungkidul : 2023 - 2045  (review pada tahun 2023)
5. Kabupaten Sleman : 2022 - 2045 (review pada tahun 2022)
6. Kota Yogyakarta : 2020 - 2045 (review pada tahun 2024)",Dokumen GDPK se DIY
GDPK,Bagaimana legalitas dokumen GDPK  yang ada di DIY baik tingkat provinsi maupun kabupaten/kota?,"Dokumen GDPK yang telah memiliki legalitas baik berupa Peraturan Daerah maupun Peraturan Kepala Daerah baru di tingkat provinsi dan 2 kabupaten sebagai berikut : 
1. Peraturan Gubernur Nomor 20 Tahun 2024 untuk Dokumen GDPK DIY
2. Peraturan Bupati Nomor 53 Tahun 2018 untuk Dokumen GDPK Kab. Kulon Progo 
3. Peraturan Daerah Nomor 4 Tahun 2022 untuk Dokumen GDPK Kab. Sleman",Dokumen GDPK se DIY
Rumah DataKu,Apa itu Rumah Dataku?,"Rumah Dataku adalah tempat atau wadah setara kelompok kegiatan di tingkat desa/kelurahan yang melaksanakan kegiatan pengumpulan, verifikasi dan analisis, penyajian serta pemanfaatan data kependudukan dan keluarga serta pembangunan","Panduan Pengelolaan Rumah Data Kependudukan dan Informasi Keluarga, BKKBN, 2020"
Rumah DataKu,Apa tujuan adanya Rumah DataKu?,"Membangun kepedulian dan kesadaran akan data, permasalahan kependudukan, dan pendidikan wawasan kependudukan dan keluarga bagi masyarakat, Menyediakan data dan analisis kependudukan serta informasi keluarga bagi pemerintah dan lintas sektoral dalam upaya memberikan intervensi peningkatan kesejahteraan masyarakat yang tepat sasaran dan tepat guna, serta membangun kelompok kegiatan dalam bidang data pada tingkat mikro yang mampu menjadi rekan strategis pemerintah lokal dalam mengambil keputusan dan kebijakan yang berkaitan dengan peningkatan kesejahteraan masyarakat.","Panduan Pengelolaan Rumah Data Kependudukan dan Informasi Keluarga, BKKBN, 2020"
Rumah DataKu,Apa fungsi Rumah DataKu?,"Pusat data kependudukan dan informasi keluarga di level desa/kelurahan, penyedia data basis bagi intervensi pembangunan kependudukan, dan Instrumen pendidikan kependudukan dan keluarga bagi masyarakat","Panduan Pengelolaan Rumah Data Kependudukan dan Informasi Keluarga, BKKBN, 2020"
Rumah DataKu,Bagaimana struktur Rumah DataKu terbentuk?,Struktur Rumah DataKu terdiri dari ketua dan minimal 2 Kader atau disesuaikan dengan kompleksitas pada Rumah DataKu,"Panduan Pengelolaan Rumah Data Kependudukan dan Informasi Keluarga, BKKBN, 2020"
Rumah DataKu,Apa saja kegiatan pokok dalam Rumah DataKu?,"Kegiatan pokok Rumah DataKu meliputi 5 hal yaitu pengumpulan dan updating data, pengolahan data, analisis data, dan penyajian data serta memberikan masukan atas temuan yang dianggap penting dan perllu ditindaklanjuti","Panduan Pengelolaan Rumah Data Kependudukan dan Informasi Keluarga, BKKBN, 2020"
Rumah DataKu,Berapa jenis klasifikasi yang ada dalam pengelompokan Rumah DataKu?,"Ada 3 klasifikasi. Sederhana, Lengkap, Paripurna","Panduan Pengelolaan Rumah Data Kependudukan dan Informasi Keluarga, BKKBN, 2020"
Rumah DataKu,Apa saja syarat wajib dalam pembentukan Rumah DataKu?,"Memiliki SK lengkap dengan struktur keanggotaan, orientasi dasar pengurus Rumah DataKu, 1 jenis sarana prasarana, 1 jenis data, dan 1 bentuk penyajian data","Panduan Pengelolaan Rumah Data Kependudukan dan Informasi Keluarga, BKKBN, 2020"
